Titles,Reviews
어두운 바다의 등불이 되어,아름다운 이야기 우리 사는 현실도 주인공과 동료들 같이 선한 사람들만 많았으면 좋겠어요
어두운 바다의 등불이 되어,한없이 무거운 재난물인데 유머가 끊이지 않습니다화 무료 이벤트로 접하게 된 소설인데 이벤트 기획해준 리디 관계자분들에게 감사드리고 싶을 정도로 너무 재밌고 소중한 작품입니다 아직 완독하지는 못했지만 읽을수록 벅차올라서 리뷰쓰러 먼저 달려왔어요 주인공 박무현의 여정을 함께 할 수 있어서 행복해요 허투루 쓰이는 내용이 없고 국가인종성별갈등 해저 기지 다양한 종교와 메시지들이 한데 어우러지는 하모니가 환상적입니다 그냥 계속 읽을 수밖에 없어요
어두운 바다의 등불이 되어,뭐야 서론이 왜케 길어하면서 읽다가 헐 하고 정신차리니 외전까지 다 읽었음
어두운 바다의 등불이 되어,작가님 개웃겨요 진짜 그냥 취저 개그
어두운 바다의 등불이 되어,외전 팔아주세요
어두운 바다의 등불이 되어,기대하고결제해서봅니다소감은 다본후
어두운 바다의 등불이 되어,오랜만에 정말 재밌게 읽었어요
어두운 바다의 등불이 되어,결말까지 이렇게 공들인 소설 오랜만인거같아요 기승전결 완벽해요 몇번이고 다시보고 정주행 할거같아서 무료로 본 화도 그냥 다 소장결제 했어요 요즘 웹소설들은 출간작들까지 봐도 다 용두사미에 잘나가다 결말 호다닥 이상한거 많은데 진짜 갓벽합니다
어두운 바다의 등불이 되어,너무 좋은 소설임주기적으로 다시 보러 와요
어두운 바다의 등불이 되어,연휴에 이벤트하는김에 보려고 질렀어요 화무료 먼저 봤는데 재밌네요 다음 내용이 궁금해져요
어두운 바다의 등불이 되어,궁금했는데 이벤트하는김에 보려구용
어두운 바다의 등불이 되어,너무 재밌어요 진짜 착하게살아야지나도
어두운 바다의 등불이 되어,너무 아름다운 이야기였어요 감사합니다
어두운 바다의 등불이 되어,인류애 박살 난 요즘 어바등 보면서 인류애 충전하고 있어요 주인공의 선한 마음에 저까지 치유되는 중스토리도 재밌구 추천합니당
어두운 바다의 등불이 되어,연휴에 가벼운 마음으로 보기 시작했는데 깊은 생각을 하게 만드는 이야기네요 스토리도 캐릭터도 정말 좋습니다 계속 생각나서 주기적으로 정주행 할 것 같아요
어두운 바다의 등불이 되어,정말 가슴을 울리는 이야기라고 할 수 있을 것 같다주인공이 정말 너무 좋다
어두운 바다의 등불이 되어,사람은 누구나 여러 면이 있고 상황에 따라 선하게 행동할 수도 악하게 행동할 수도 있지요 그런 면을 많이 보여주면서도 주인공 무현이의 한결같은 자세가 좋았습니다 가끔 생각날때마다 한번씩 정주행해요
어두운 바다의 등불이 되어,끊어가면서보기싫어서 미루다가 연휴라서 첫날부터 보고있어요 상상치못한 전개로인해 머리털 뜯으면서 보고있어요
어두운 바다의 등불이 되어,사람들이 좋다고 하는건 다 이유가 있군요
어두운 바다의 등불이 되어,진짜재밌어요 추천합니다
어두운 바다의 등불이 되어,연휴동안 즐겁게 보고있습니다
어두운 바다의 등불이 되어,자 연휴기념 달려보겠습니다
어두운 바다의 등불이 되어,가벼운 마음으로 읽으려다 선한 사람이 되고자 노력하는 사람의 다정함에 한 순간 정신없이 푹 빠졌네요 충분히 소장할 가치가 있는 아름다운 소설입니다 작가님께서 오랫동안 계속 글을 써주셨으면 좋겠어요 좋은 글을 써주셔서 진심으로 감사합니다
어두운 바다의 등불이 되어,딱 화만 읽으려고햇는데 넘 재밋어서 다 소장함박무현 성격 너무 좋다
어두운 바다의 등불이 되어,그냥 첫화 보자마자 깨달았던 거 같음 나는 이 작품에 빠져들 수밖에 없을 거라고
어두운 바다의 등불이 되어,연휴 맞이로 예전에 보려했다 말았던 어바등 다시 찾아왔어요마음이 많이 힘든데 너무 좋아요
어두운 바다의 등불이 되어,연휴맞이 무료라길래 소문 듣고 찾아왔읍니다아무 정보 없이 보다 뒤통수 깡 맞은 느낌 받았고 정말 짱이네요
어두운 바다의 등불이 되어,연휴맞이 어바등 주행해요
어두운 바다의 등불이 되어,웹소설보다는 책으로 된 소설읽는 느낌 판타지 소설이라는 장르에 아주 충실한 작품이다
어두운 바다의 등불이 되어,와 연휴맞이 어바등 봐주세요 후회하지 않으실거에요
어두운 바다의 등불이 되어,너무 기대되는 어바등 꼭 보고싶엇는데 설연휴 이벤트 덕에 봐요
어두운 바다의 등불이 되어,절대선좋아하면 절대좋아함  재밌음
어두운 바다의 등불이 되어,처음 볼 때 작품 설명이고 키워드고 다 안 보고 읽어서 그냥 해저기지 일상물인줄 알았습니다감사합니다
어두운 바다의 등불이 되어,한번 보면 다른 거 읽기 힘들어지는 소설
어두운 바다의 등불이 되어,멘탈이 갈리면서도 계속 읽게 되는 마법
어두운 바다의 등불이 되어,진짜 몇안되는 수작이에요꼭 보셨으면 좋겠어요특히 주인공의 능력이 만랩이 아니라서 멱살잡고 끌고가는 매력조연들에 빠지실겁니다
어두운 바다의 등불이 되어,서지혁 니가 내 별이다
어두운 바다의 등불이 되어,아포칼립스물인줄도모르고봣다 아포칼립스 개싫어하는데도 하나하나 예쁜 문장들에 완벽한 복선 회수 이보다 완벽한 소설은 찾기 힘들 듯
착한 일을 하면 복을 받음¿,능력있는 여주가 너무 좋아요 재미있게보고있습니다
착한 일을 하면 복을 받음¿,보장된 별개 김치찌개 맛집 용사에 이어 마왕까지 끓여주는 이 집 다크히어로의 진수
착한 일을 하면 복을 받음¿,초반부가 지루해요
착한 일을 하면 복을 받음¿,생각보다 흡입력 있어요 로맨스 도 없는 먼치킨 좋아하면 추천합니다
착한 일을 하면 복을 받음¿,음 여자주인공이 너무 중병에 걸렸어요 제가 좀더 어렸으면 여주 대화법을 좋아했을지도 모르겠는데 지금 보기엔 너무 항마력이 딸리네요 그리고 스토리 전개방식도 너무 올드합니다
착한 일을 하면 복을 받음¿,처음엔 항마력이 좀 딸려서 힘들었는데 어느새 계속 구매해서 보고있네요 색다른 설정과 전개 흥미진진합니다
착한 일을 하면 복을 받음¿,주인공이요 뭔갈 갈기갈기 찢는걸 좋아하고요 항마력좀 딸리시는분들이거나 이런 먼치킨류 안좋아하신다 하면 쬬꼼 비추여요 근데 전 진짜 재밌게 봤거든요 이걸 모아서 한번에 보시면 꽤 괜찮습니다 쥔공 주변인들 설정도 독특해서 재밌었어요 모쪼록 많은분들이 봐주셔서 판 커지면 좋겠네요
착한 일을 하면 복을 받음¿,세계관도 방대하고 무엇보다 주인공의 위악과 선함 인간을 혐오하면서도 선함을 믿고 싶은 마음이 너무 좋습니다 재미있어요
착한 일을 하면 복을 받음¿,아니 나도 리뷰 다 읽어보고 결제했는데 여주 남주람 대화내용보면 별차이도 없구만 내용 졸라 지루하고 읽다 잠든게 몇번인지 지겹다 징짜 설명충도 아니고 요즘 소설 왜이러노 글 남긴분들 이해가 안가네 글쓰신분이 리뷰 대신한건가 어이상실
착한 일을 하면 복을 받음¿,전개가 시원시원하다는 평이 많은데 주변에서 앵알거리는 서술만 보면 시원은 무슨 속이 갑갑해집니다 아무것도 못하는 일반인들이 위기 상황에서 왜 이렇게 입을 나불거리지 자아개커
착한 일을 하면 복을 받음¿,헌터 스토리는 오랫만에 보네요 여주인공의 활약 재미있게 볼게요
착한 일을 하면 복을 받음¿,랭킹 위도 존잼이었는데 이것도 좋음
착한 일을 하면 복을 받음¿,이벤트 인터뷰 답변이 재미있어 보여서 구매
착한 일을 하면 복을 받음¿,재밌는데 자꾸 주인공이 자길 악마악마 할때마다 약간오글거려요
착한 일을 하면 복을 받음¿,나쁜놈들 처리하는 것도 착한일 맞죠 여주 진짜 멋지고 매력있고 정말 마음에 들어요
착한 일을 하면 복을 받음¿,아 요즘은 의도보다 결과가 중요하다고 
착한 일을 하면 복을 받음¿,여주판 좋아하면 빨리 다들 드셔봐
착한 일을 하면 복을 받음¿,먼치킨물 좋아하는데 주인공이 힘쎈 먼치킨물이라서 너무 좋아요 여주 최고
착한 일을 하면 복을 받음¿,내가 여주로 보고싶었던 게 이런내용임
착한 일을 하면 복을 받음¿,능력있는 여주가 너무 취저예요 귀한 여주판 무조건 봐야죠
착한 일을 하면 복을 받음¿,캐릭터가 넘 마음에 들어서 재밌게 읽고 있어요
착한 일을 하면 복을 받음¿,재밌어요 기대됩니다
착한 일을 하면 복을 받음¿,여주가 진짜 존잼이에요 
착한 일을 하면 복을 받음¿,론칭하고 계속 보는 중인데 재밌어요 전직 마왕 여주 다온이가 매력적입니다
착한 일을 하면 복을 받음¿,여주 캐릭터가 넘 취향이라 재밌게 읽고있습니다
착한 일을 하면 복을 받음¿,전작 용사부터 지금 마왕까지 최고에요
착한 일을 하면 복을 받음¿,모럴없이 행동하는 여주 최고됨 사람들아 알아주라 여주판이 이렇게 재밌다
착한 일을 하면 복을 받음¿,으아아 너무 취향이에요 여주인공도 맘에들고 마왕이 착한일 하려고 애쓰는것도 너무 좋아욬
착한 일을 하면 복을 받음¿,잘 보고 있습니다 감사합니다
착한 일을 하면 복을 받음¿,아직 다는 안봤습니다만 괜찮은듯요
착한 일을 하면 복을 받음¿,여주판 대작의 기운이 흘러요
착한 일을 하면 복을 받음¿,여주판 좋아하는데 생각외로 재밌어요 
착한 일을 하면 복을 받음¿,현판 정말 잘 안 보는데 어느새 화까지 봤다 익숙한 판타지게임 개념들도 새로운 개념을 더해서 설명해내니 세계관이 더 깊어짐 지금까지 나온 등장인물들도 모두 마음에 듦무엇보다 여캐가 정말 많음 여기저기 다 여캐야
착한 일을 하면 복을 받음¿,여주판 넘 좋아요 로판이랑 다른맛이 있죠
착한 일을 하면 복을 받음¿,요즘 리온판에서 여주판 많이 나와서 좋네요 작가님 전작도 재미있게 봤는데 이번 것도 따라가기 좋아요
착한 일을 하면 복을 받음¿,시원시원하고 착하지 않은 여주의 성격이 아주 맘에 듭니다자신의 헛점을 역으로 이용하거나 정의로움에 구속받지 않고 활개치는 모습이 고구마 없이 재미있네요
착한 일을 하면 복을 받음¿,아 잠깐만 주인공 성격도 마음에 들고 너무 재미있는데
착한 일을 하면 복을 받음¿,능력자 주인공이라서 답답함이 없이 시원해서 재밌어요
착한 일을 하면 복을 받음¿,여주물인데 여주가 먼치킨에 성격이 답답하지 않아서 좋아요 시원시원함
착한 일을 하면 복을 받음¿,전작도 잘 봤지만 전작보다 초반부 진입장벽이 덜하고 스토리에 몰입하기도 쉬워진 거 같아서 더 좋아요
착한 일을 하면 복을 받음¿,리디 연재 유일하게 계속 보는 작품작가님 이전 작품 여주랑은 다른데오히려 더 취저
착한 일을 하면 복을 받음¿,소개글이 벌써 재미있어요
착한 일을 하면 복을 받음¿,대상 받아라
착한 일을 하면 복을 받음¿,여자 주인공 판타지 처음 읽어 보는데 열라 잼나네 계속 피식 피식 웃음
착한 일을 하면 복을 받음¿,기가막히게 재미있어여
착한 일을 하면 복을 받음¿,전작보고 시작했는데 존잼
착한 일을 하면 복을 받음¿,피식피식 나도 같이 복 받고프네요
착한 일을 하면 복을 받음¿,주인공이 넘 멋있네요
착한 일을 하면 복을 받음¿,진짜 재밌음 난 이런 여주판을 기다려왔을지도
회귀한 헌터의 체크메이트,회귀물엔 역시 사이다를 기대하게 되네요 어떻게 전개하실지 궁금합니다
회귀한 헌터의 체크메이트,지원금은 언제나 쥐꼬리
회귀한 헌터의 체크메이트,인과관계도 안맞고진행도 너무느림화까지도 겨우 봤음
회귀한 헌터의 체크메이트,아카데믹물에 지능캐릭터라 주인공이 어떻게 성장할지 기대하며 읽고 있습니다
회귀한 헌터의 체크메이트,손에 땀이나요 몰아치는데 이 세계를 어떻게 멸망으로부터 구원할지 전개가 궁금해집니다
회귀한 헌터의 체크메이트,회귀물아카데미물 좋아하는 나를 위한 소설 메모
회귀한 헌터의 체크메이트,재미있게잘보고있어요
회귀한 헌터의 체크메이트,재미있게 잘 봤습니다
회귀한 헌터의 체크메이트,두뇌형 전략캐 주인공 써보겠다고 개연성을 박살낸 소설 무력보다 두뇌로 승부하는 캐릭터는 사건도 전략도 정말 치밀하게 짜여야 하는데 그게 안되니까 주변인을 멍청이로 만들어버림 때로는 주인공조차 왜저래싶은 상황을 만듬 더는 못보겠어서 하차합니다
회귀한 헌터의 체크메이트,잼나네요
회귀한 헌터의 체크메이트,독특한 느낌이 좋습니다
회귀한 헌터의 체크메이트,재미있어 보여요 작품 기대 됩니다
회귀한 헌터의 체크메이트,키워드 취저라 시작해 봅니다 재밌게 잘 보겠습니다
회귀한 헌터의 체크메이트,설정이 취향이라 달려보겠습니다
회귀한 헌터의 체크메이트,흥미로운 소재라 재미있게 읽었어요
회귀한 헌터의 체크메이트,설정이 탄탄해서 볼 맛 나네요
회귀한 헌터의 체크메이트,이런 소설도 재밌네요 신선해요
회귀한 헌터의 체크메이트,주인공이 매력적이에요
회귀한 헌터의 체크메이트,잘읽고있습니다 재밌네요
회귀한 헌터의 체크메이트,재밌게 읽었습니다 
회귀한 헌터의 체크메이트,잘봤어요 정말 재밌게 잘 읽었습니다
회귀한 헌터의 체크메이트,이벤트로 읽기 시작했는데 회귀자인 주인공이 어떻게 빌런을 퇴치하고 세계의 멸망을 막을지 궁금하네요
회귀한 헌터의 체크메이트,재미있게 잘 봤습니다
회귀한 헌터의 체크메이트,헌터물이라니 기대됩니다 이제부터 달려봅니다
회귀한 헌터의 체크메이트,헌터물 좋아해서 이작품도 달려봅니다
회귀한 헌터의 체크메이트,재밌게 잘 봤어요
회귀한 헌터의 체크메이트,필력 대박 재밌어요
회귀한 헌터의 체크메이트,재밌게 잘봤습니다
회귀한 헌터의 체크메이트,완결까지 잘봤습니다
회귀한 헌터의 체크메이트,글 수준이 너무 멍청해서 못보겠다 미래의 동료를 회귀해서 보고 하는 말이 살아있었구나 이딴 생각은 왜 한거임과거로 돌아왔으면 당연히 다 살아있는거지 살아있었구나  하는거보고 바로 접음
회귀한 헌터의 체크메이트,추리소설 작법을 어설프게 적용하면 스토리가 질질 늘어지고 주인공의 활동에 제한되면서 대립각은 흐릿해 집니다 당연히 재미없는 글이 됩니다 딱 무료편에서 멈춤니다 고생하세요
회귀한 헌터의 체크메이트,너무 재밌네요 흥미진진합니다
회귀한 헌터의 체크메이트,클리셰랑 독창성이 둘다 있어서 좋아요
회귀한 헌터의 체크메이트,분위기가 너무 조아요
회귀한 헌터의 체크메이트,좋아하는 키워드에요
회귀한 헌터의 체크메이트,회귀물이라 재밌네요 계속 보게 되네요
회귀한 헌터의 체크메이트,회귀물 좋아해서 봤는데 주인공이 계략캐라 그런지 더 재밋는듯 
회귀한 헌터의 체크메이트,회귀하고 완전 바뀐 삶을 어떻게 그려가느냐가 중요한데 그게 많이 부족하게 느껴지네요
회귀한 헌터의 체크메이트,완결 축하드립니다 고생하셨습니다 잘 볼게요
회귀한 헌터의 체크메이트,이벤즈로 잘 읽었어요
회귀한 헌터의 체크메이트,스토리도 좋고 재밌습니다
회귀한 헌터의 체크메이트,재밌게 봤어요 주인공 매력적이네요
회귀한 헌터의 체크메이트,좋은 작품 감사합니다재밌게 잘 읽었습니다
회귀한 헌터의 체크메이트,재밌게 잘 읽고 있어요
회귀한 헌터의 체크메이트,너무 재밌습니다 흥미로움
회귀한 헌터의 체크메이트,기대보다 더 재밌네요 잘봤어요
회귀자 헌터 양성소,가끔 나의 별점과 별점 평균이 괴리가 클 때면 노땅이 된 듯해 슬픕니다 주인공의 논리전개 억지 설정 수준이하 대화 등등 전 도저히 못읽겠네요 이벤트에 별점 믿고 한참 질러놨는데 엄청 후회되네요
회귀자 헌터 양성소,키워드취저 재미잇어용 
회귀자 헌터 양성소,작가님 글이 너무 좋아요 평생 글 써주시면 안 되나요제가 인세 다는 못 드려도 한 편에 오천원씩 드릴 자신은 있어요지금은 편만 써달라 할 수 있지만 언젠가 돈 많이 벌어서 작가님 먹여 살릴 겁니다그때까지 계속 글 써주세요 제발요
회귀자 헌터 양성소,중국인이 쓰고 한국인이 번역했나
회귀자 헌터 양성소,아 뭐지 이 애매한 맛은진짜 안 읽어진다
회귀자 헌터 양성소,재미있어요 주인공 안나올땐 약간 지루함고양이랑 케미 좋음
회귀자 헌터 양성소,재밌는데 좋아요 상위 평점은 왜이러냐
회귀자 헌터 양성소,저는 너무 재밌게 보고있어요오랜만에 이런 힘숨찐 소설보고 있어서 두근거립니다쫄려도 쫄지 않지 앞으로 이야기가 더욱 기대되네요
회귀자 헌터 양성소,리디온리 믿고 볼 만하지주인공 너무 마음에 들어
회귀자 헌터 양성소,진짜 주인공 매력있고 스토리 흥미있고 좋은데 흥미유발해서 집중할라치면 본편과 관련없는 사이드스토리가 편씩 나오니 흐린눈으로 보게되요
회귀자 헌터 양성소,헌터양성소라는 소재가 흥미롭네요
회귀자 헌터 양성소,스스로 못되쳐먹었다고 인지하는게 본인객관화가 잘됐네요 비록 성공은 못했지만 주변에 복수는 열심히 해봤으니 이젠 다른 삶을 살아보려는 모습을 응원해요
회귀자 헌터 양성소,회귀 번이지만 이렇게 날로 흘려보냈을 줄이야일반적인 회귀물 주인공의 성격이 아니에요이번엔 좀 본인 이득 잘 챙겨갔으면 좋겠네요
회귀자 헌터 양성소,캐릭터들이 하나같이 매력적이네요 대작의 예감 뿜뿜
회귀자 헌터 양성소,헌터물 좋아하면 추천합니다
회귀자 헌터 양성소,헌터물 참 좋아하는데 이렇게 또 신작이 나와서 재미있게 잘 보고 있어요
회귀자 헌터 양성소,좋아하는 소재라서 더 재밌게 읽었어요 작가님 개그코드도 좀 저랑 잘 맞는 듯
회귀자 헌터 양성소,배신 속에 자꾸 죽는데 어라 나 또 살아났네 하다가 얼른뚱땅 차린 회차 회귀자의 헌터양성소 은근한 유머가 너무 재미있어요
회귀자 헌터 양성소,회귀물 설정 재밌어요
회귀자 헌터 양성소,재밌어요 기대됩니다
회귀자 헌터 양성소,회귀자 소재 신선하네요
회귀자 헌터 양성소,회귀물 중에서도 재밌네요
회귀자 헌터 양성소,고양이의 집사가 되는데도 이런저런 핑계를 대고 못되게 굴지만 좋은 사람이네요
회귀자 헌터 양성소,찍먹만 해볼까 했는데 어느순간 술술 읽고있음
회귀자 헌터 양성소,수많은 회귀 이번 회차는 다를거같은데  힐링을 추구하지만 결국 사건의 중심에 있는 양채진 재미있어요
회귀자 헌터 양성소,아쉬운 면도 있고 괜찮은 면도 있고
회귀자 헌터 양성소,헌터 양성이라는 소재가 너무 취저예요
회귀자 헌터 양성소,메인스토리 재밌게 보고 있었는데 갑자기 화부터 화까지 다른 캐릭터 에피소드임 한 두편도 아니고 나중에 가서 이런 연관이 있었습니다 하기에 지금 메인 스토리가 뭐 얼마나 진행됐다고 이 타이밍에 이러는지 모르겠음 화쯤부터는 진짜 흥미 떨어져서 대충 훑었는데 돈 아까움
회귀자 헌터 양성소,헌터를 양성한다는 설정이 신선하고 재미있어요
회귀자 헌터 양성소,이거는 그냥 재밌다당연함 쏜윈임
회귀자 헌터 양성소,재밌게 잘 보고있어요
회귀자 헌터 양성소,주인공이 분노 조절 장애와 안 좋은 사회성을 가지고 있긴 한데 캐릭터로선 매력 있어요 능력도 있고요그런데 초반에 조연들 얘기 너무 많이 나오는 건 저도 별로였어요 주인공에 대해서도 제대로 모르는 상태인데 기희로주인공 전 동료 얘기 너무 많이 나옴소재 특성상 조연 얘기가 많이 나올 수밖에 없겠지만 전작처럼 주인공 서사도 잘 챙겨줬으면 좋겠어요
회귀자 헌터 양성소,재미있는데 좀 루즈해서 애매합니다
회귀자 헌터 양성소,헌터물이지만 인생을 돌아보게 하네요
회귀자 헌터 양성소,재밌어요 처음엔 쥔공 인성 쓰레기인가 싶은데 그건 아니고 그냥 정신병자에요
회귀자 헌터 양성소,주인공 외에도 다양한 헌터 캐릭터들이 나와서 좋아요
회귀자 헌터 양성소,너무 재밌어요 다음편이 궁금해요
회귀자 헌터 양성소,스토리도 재밌고 좋습니다 흥미진진해요
회귀자 헌터 양성소,개그 코드가 나름대로 재미있습니다
회귀자 헌터 양성소,재미는 있는데 루즈하네요
회귀자 헌터 양성소,재미있게 잘 보았어요
회귀자 헌터 양성소,회귀를 그렇게 반복했는데 쉴 수가 없어딱봐도 양성소 대박날 것주인공 이미지랑 표지 너무 찰떡이에요
회귀자 헌터 양성소,재밌어용 근데 글이 약간 어수선한 느낌이 듭니다
회귀자 헌터 양성소,최근 본 판타지 소설중에 가장 재밌네요 연재가 많이 되면 볼 걸 
공포소설 속 조연은 사람으로 살고 싶다,재미있어요 잘보고있습니다
공포소설 속 조연은 사람으로 살고 싶다,화까지 읽었는데 나도 같이 정신 나가는 기분이라서 더 읽을 자신이 없다
공포소설 속 조연은 사람으로 살고 싶다,글이 두서가 없고 불친절해요 지금 떡밥 뿌리고 있으니까 너가 알아서 이해해 이해 못 했으면 보지말던가라는 느낌을 받았어요 두서없는 글이 모두 크툴루는 아닌데
공포소설 속 조연은 사람으로 살고 싶다,지금 화 읽고있는데 대체 부 언제 끝나나요 제 멘탈이 터질 거 같아서 유릭이랑 재회하는 화라도 먼저 보고 읽던 부분으로 다시 돌아가고 싶어요 썸바디헲미답변 감사합니다 좀만 더 참고 보겠습니다
공포소설 속 조연은 사람으로 살고 싶다,명작명작 그 밖의 말로 표현 불가능 명작
공포소설 속 조연은 사람으로 살고 싶다,진짜너무힘들다
공포소설 속 조연은 사람으로 살고 싶다,부 까진 재미있었는데 부 들어오니까 라노벨 아카데미물처럼 바뀐것같아 아쉽습니다 굳이 이런 전개를 해야했나 라는 생각도 들고요 부부 초반부가 작품의 전성기같습니다
공포소설 속 조연은 사람으로 살고 싶다,화까지 이게 뭔내용인가 싶은데 그 이후로 완전 흥미진진해요 아직 초반이지만 재밌습니다
공포소설 속 조연은 사람으로 살고 싶다,공조살 같은 소설 또 없다
공포소설 속 조연은 사람으로 살고 싶다,이거 소개보고 반해서 구매합니다 재미있을거 같아요
공포소설 속 조연은 사람으로 살고 싶다,재미있게 잘 볼께요
공포소설 속 조연은 사람으로 살고 싶다,재밌다는 평이 많아서 전권구매합니당
공포소설 속 조연은 사람으로 살고 싶다,재밌어요쥰잼
공포소설 속 조연은 사람으로 살고 싶다,오 스토리가 너무 장황해서 그냥 무료로 보다가 어느순간 결제하고 있는 내 자신을 발견했네요 중독성 있는 글이예요 작가님 필력이 좋으시네요
공포소설 속 조연은 사람으로 살고 싶다,이벤트로 시작해서 구매로 이어진다단행본도 빨리 나왔으면 좋겠내요
공포소설 속 조연은 사람으로 살고 싶다,안보던 장르인데 이벤트로 시작했어요 생각보다 술술읽혀서 놀랐습니다 타장르에 눈뜬 새눈이에요  재밌습니다
공포소설 속 조연은 사람으로 살고 싶다,이 소설은 걍 화까지 보고 결정해야 함빌드업 레전드임
공포소설 속 조연은 사람으로 살고 싶다,그냥 지금 바로 읽어보세요
공포소설 속 조연은 사람으로 살고 싶다,공조살 개재밌다 전개 미침
공포소설 속 조연은 사람으로 살고 싶다,예상할 수 없는 전개 너무 끔찍한데 계속 보게돼요 아마 저도 미쳤나봐요
